sites	rs1	rs3
s1	16.6	25.29
s100	35.14	35.35
s103	21.58	29.6
s106	24.69	28.54
s108	31.79	29.58
s109	51.22	41.77
s110	24.41	28.49
s111	33.24	42.43
s120	27.37	37.34
s121	20.6	25.7
s122	9.97	20.4
s124	34.44	19.5
s127	37.96	28.68
s128	53.9	57.91
s130	16	14.6
s131	32.98	22.49
s133	28.5	32.73
s135	27.43	28.48
s14	23	33.29
s17	20.4	26.39
s2	25.6	40.21
s20	18.66	34.57
s22	17.89	23.4
s23	24.39	29.9
s26	33.14	31.45
s27	36.26	47.79
s28	32.15	43.66
s29	35.11	23.59
s3	19.4	24.48
s31	22.55	31.74
s33	22.49	24.36
s34	12.06	13.6
s35	29.86	23.4
s37	41.95	45.47
s41	16.41	20.4
s42	16.4	20.77
s44	17.4	25.6
s46	21.4	25.53
s47	29.31	45.56
s49	42.11	38.43
s55	30.33	44.82
s56	13	18.6
s57	21.4	24.59
s58	24.6	28.6
s59	23.4	26.4
s6	18.4	21.4
s61	18.57	15.6
s62	41.91	33.44
s65	36.85	26.52
s66	31.79	30.6
s67	26.23	20.79
s68	22.4	26.4
s70	20.61	29.67
s72	16.4	23.6
s73	15.7	30.04
s77	12.6	16.66
s80	26.07	42.71
s85	19.4	27.67
s89	25	20.6
s9	26.38	29.4
s90	17.6	29.34
s91	25.4	47.95
s93	25.68	29.39
s96	40.63	30.33
s97	35.02	24.8
s98	37.09	29.37
s99	32.15	35.29
