"Girth","Height","Volume","Species"
"8.3","70.0","10.3","A"
"8.6","65.0","10.3","A"
"8.8","63.0","10.2","A"
"10.5","72.0","16.4","B"
"10.7","81.0","18.8","B"
"10.8","83.0","19.7","B"
"11.0","75.0","18.2","B"
"11.0","66.0","15.6","A"
"11.1","80.0","22.6","B"
"11.2","75.0","19.9","B"
"11.3","79.0","24.2","B"
"11.4","76.0","21.4","A"
"114.0","76.0","21.0","A"
"11.7","69.0","21.3","A"
"12.0","75.0","19.1","A"
"12.9","85.0","33.8","B"
"12.9","74.0","22.2","B"
"13.3","86.0","27.4","B"
"13.7","71.0","25.7","A"
"13.8","64.0","24.9","A"
"14.0","78.0","34.5","B"
"14.2","80.0","31.7","B"
"14.5","74.0","36.3","A"
"16.0","72.0","38.3","A"
"16.3","77.0","42.6","B"
"17.3","81.0","55.4","A"
"17.5","82.0","55.7","B"
"17.9","80.0","58.3","B"
"18.0","80.0","51.5","A"
"18.0","80.0","51.0","A"
"20.6","87.0","77.0","B"
