age	pesticides
2ans	0.144
2ans	1.171
2ans	0.178
2ans	0.184
2ans	0.193
2ans	0.197
2ans	0.198
2ans	0.199
3ans	0.285
3ans	0.295
3ans	0.321
3ans	0.354
3ans	0.359
3ans	0.361
3ans	0.362
3ans	0.364
4ans	0.418
4ans	0.441
4ans	0.451
4ans	0.451
4ans	0.458
4ans	0.461
4ans	0.464
4ans	0.465
5ans	0.675
5ans	0.685
5ans	0.726
5ans	0.736
5ans	0.712
5ans	0.698
5ans	0.725
5ans	0.702
6ans	1.13
6ans	1.18
6ans	1.21
6ans	1.23
6ans	1.24
6ans	1.19
6ans	1.18
6ans	1.22
ax	0.127
ax	0.148
ax	0.178
ax	0.216
ax	0.189
ax	0.204
ax	0.172
ax	0.165
