grp	dat	mod	rep	horiz	var	val
1B	20181109	B	1	OF	epaiseur_OF	0
1B	20181109	B	2	OF	epaiseur_OF	0
1B	20181109	B	2	OH	epaisseur_OH	0
2A	20181107	B	1	OF	Epaisseur	0
2A	20181107	B	1	OH	Epaisseur	0
1A	20181109	haut	1	S	pH	0,0354
1A	20181109	haut	3	S	pH	0,0371
1A	20181109	milieu	3	S	pH	0,04
1A	20181109	milieu	1	S	pH	0,0423
1A	20181109	bas	3	S	pH	0,0702
1A	20181109	bas	1	S	pH	0,0758
1B	20181109	H	2	A	humidite_relative	0,094239849
1A	20181109	milieu	1	S	HR	0,1473
1A	20181109	bas	2	S	HR	0,19
1B	20181109	M	1	A	humidite_relative	0,192561488
1A	20181109	bas	3	S	HR	0,2
1B	20181109	M	2	OH	epaisseur_OH	0,2
1B	20181109	H	2	OH	epaisseur_OH	0,2
2A	20181107	B	2	A	HR	0,2115
1A	20181109	haut	1	S	HR	0,2174
2A	20181107	B	3	A	HR	0,220453449
1A	20181109	bas	1	S	HR	0,2465
1A	20181109	milieu	3	S	HR	0,25
2A	20181107	H	3	A	HR	0,251933702
1B	20181109	M	3	A	humidite_relative	0,270611702
2A	20181107	B	1	A	HR	0,273356401
1B	20181109	B	2	A	humidite_relative	0,274401473
1A	20181109	haut	2	S	HR	0,29
2A	20181107	M	3	A	HR	0,290354823
1B	20181109	B	3	A	humidite_relative	0,294272548
1B	20181109	B	1	A	humidite_relative	0,308988764
1A	20181109	milieu	2	S	HR	0,31
1B	20181109	H	1	A	humidite_relative	0,387966805
2A	20181107	H	1	A	HR	0,4181892
2A	20181107	M	1	A	HR	0,433
2A	20181107	H	2	A	HR	0,436727487
2A	20181107	M	2	A	HR	0,477589641
1B	20181109	B	1	OH	epaisseur_OH	0,5
1B	20181109	H	2	OL	epaisseur_OL	0,5
2A	20181107	B	2	OH	Epaisseur	0,5
2A	20181107	H	2	OH	Epaisseur	0,5
1A	20181109	haut	3	S	HR	0,51
1B	20181109	M	2	A	humidite_relative	0,560606061
1B	20181109	H	3	A	humidite_relative	0,616242038
1B	20181109	M	1	OF	epaiseur_OF	1
1B	20181109	M	3	OF	epaiseur_OF	1
