identifients	date	groupe	transect	modalité	horizon	variable	valeur	Remarque
TP_1B_1_B	09/11/2018	1B	1	B	A	epaisseur_A	10	
TP_1B_1_B	09/11/2018	1B	1	B	OH	epaisseur_OH	0,5	
TP_1B_1_B	09/11/2018	1B	1	B	OF	epaiseur_OF	0	
TP_1B_1_B	09/11/2018	1B	1	B	OL	epaisseur_OL	1	
TP_1B_1_M	09/11/2018	1B	1	M	A	epaisseur_A	8	
TP_1B_1_M	09/11/2018	1B	1	M	OH	epaisseur_OH	1	
TP_1B_1_M	09/11/2018	1B	1	M	OF	epaiseur_OF	1	
TP_1B_1_M	09/11/2018	1B	1	M	OL	epaisseur_OL	1,5	
TP_1B_1_H	09/11/2018	1B	1	H	A	epaisseur_A	7	
TP_1B_1_H	09/11/2018	1B	1	H	OH	epaisseur_OH	4	
TP_1B_1_H	09/11/2018	1B	1	H	OF	epaiseur_OF	2	
TP_1B_1_H	09/11/2018	1B	1	H	OL	epaisseur_OL	1,5	
TP_1B_2_B	09/11/2018	1B	2	B	A	epaisseur_A	NA	
TP_1B_2_B	09/11/2018	1B	2	B	OH	epaisseur_OH	0	
TP_1B_2_B	09/11/2018	1B	2	B	OF	epaiseur_OF	0	
TP_1B_2_B	09/11/2018	1B	2	B	OL	epaisseur_OL	2	
TP_1B_2_M	09/11/2018	1B	2	M	A	epaisseur_A	1,5	
TP_1B_2_M	09/11/2018	1B	2	M	OH	epaisseur_OH	0,2	
TP_1B_2_M	09/11/2018	1B	2	M	OF	epaiseur_OF	4	
TP_1B_2_M	09/11/2018	1B	2	M	OL	epaisseur_OL	3	
TP_1B_2_H	09/11/2018	1B	2	H	A	epaisseur_A	20	
TP_1B_2_H	09/11/2018	1B	2	H	OH	epaisseur_OH	0,2	
TP_1B_2_H	09/11/2018	1B	2	H	OF	epaiseur_OF	10,5	
TP_1B_2_H	09/11/2018	1B	2	H	OL	epaisseur_OL	0,5	
TP_1B_3_B	09/11/2018	1B	3	B	A	epaisseur_A	15	
TP_1B_3_B	09/11/2018	1B	3	B	OH	epaisseur_OH	3	
TP_1B_3_B	09/11/2018	1B	3	B	OF	epaiseur_OF	2	
TP_1B_3_B	09/11/2018	1B	3	B	OL	epaisseur_OL	2	
