	Temps	Freq	Exp	gestion	rang	tot
1	30	0	0	Temoin	3	3
2	27	0	0	Temoin	3	3
3	22	0	0	Temoin	4	4
4	16	0	0	Temoin	4	4
5	23	0	0	Temoin	3	3
6	20	0	0	Temoin	5	5
7	35	1	1	Fauche	2	2
8	27	1	1	Fauche	2	3
9	21	1	1	Fauche	3	3
10	13	1	0	Fauche	4	4
11	22	1	0	Fauche	3	3
12	19	1	0	Fauche	3	3
13	20	2	1	Fauche	2	3
14	15	2	1	Fauche	2	3
15	89	2	1	Fauche	2	3
16	39	2	0	Fauche	3	4
17	55	2	0	Fauche	3	4
18	16	2	0	Fauche	3	4
19	82	3	1	Fauche	1	3
20	48	3	1	Fauche	2	3
21	17	3	1	Fauche	3	3
22	62	3	0	Fauche	2	3
23	43	3	0	Fauche	2	3
24	46	3	0	Fauche	2	3
25	77	7	1	Tonte	1	2
26	45	7	1	Tonte	2	3
27	45	7	1	Tonte	2	3
28	44	7	0	Tonte	2	4
29	37	7	0	Tonte	2	4
30	34	7	0	Tonte	2	3
31	92	10	1	Tonte	1	3
32	80	10	1	Tonte	1	3
33	109	10	1	Tonte	1	3
34	87	10	0	Tonte	1	3
35	87	10	0	Tonte	1	3
36	87	10	0	Tonte	1	3
37	76	14	1	Tonte	1	3
38	95	14	1	Tonte	1	3
39	95	14	1	Tonte	1	3
40	72	14	0	Tonte	1	4
41	69	14	0	Tonte	1	4
42	67	14	0	Tonte	1	3
