zone	rep	sp	biom
Lam	1	Lralis	0,1
Lam	1	Nlap	2,71
Lam	1	Nlap	3,48
Lam	1	Nlap	4,46
Lam	1	Nlap	7,16
Lam	1	Patsp	0,18
Lam	1	Patsp	0,22
Lam	1	Patsp	4,05
Lam	2	Gcin	0,27
Lam	2	Gumb	0,67
Lam	2	Gumb	0,8
Lam	2	Gumb	1,13
Lam	2	Gumb	1,15
Lam	2	Nlap	2,22
Lam	2	Nlap	3,71
Lam	2	Nlap	3,82
Lam	2	Nlap	3,82
Lam	2	Nlap	3,93
Lam	2	Nlap	4,23
Lam	2	Nlap	4,37
Lam	2	Nlap	5,16
Lam	2	Nlap	5,58
Lam	2	Nlap	5,83
Lam	2	Nlap	6,78
Lam	2	Patsp	0,07
Lam	2	Patsp	0,21
Lam	2	Patsp	0,56
Lam	2	Patsp	0,74
Lam	2	Patsp	0,96
Lam	2	Patsp	1,33
Lam	2	Patsp	2,6
Lam	2	Patsp	8,85
Lam	3	Gumb	1,39
Lam	3	Gumb	1,57
Lam	3	Patsp	0,45
Lam	3	Patsp	0,57
Lam	3	Patsp	1,18
Lam	3	Patsp	4,08
Lam	3	Patsp	13,51
Lam	3	Patsp	15,99
Lam	4	Gumb	0,13
Lam	4	Gumb	0,14
Lam	4	Gumb	0,4
Lam	4	Gumb	0,61
Lam	4	Gumb	0,64
Lam	4	Gumb	0,64
Lam	4	Gumb	0,67
Lam	4	Gumb	0,69
Lam	4	Gumb	0,72
Lam	4	Gumb	0,74
Lam	4	Gumb	0,75
Lam	4	Gumb	0,75
Lam	4	Gumb	0,75
Lam	4	Gumb	0,75
Lam	4	Gumb	0,76
Lam	4	Gumb	0,76
Lam	4	Gumb	0,81
Lam	4	Gumb	0,81
Lam	4	Gumb	0,81
Lam	4	Gumb	0,84
Lam	4	Gumb	0,84
Lam	4	Gumb	0,85
Lam	4	Gumb	0,86
Lam	4	Gumb	0,87
Lam	4	Gumb	0,88
Lam	4	Gumb	0,89
Lam	4	Gumb	0,9
Lam	4	Gumb	0,9
