	Girth	Height	Volume	Species
1	8.3	70	10.3	A
2	8.6	65	10.3	A
3	8.8	63	10.2	A
4	10.5	72	16.4	B
5	10.7	81	18.8	B
6	10.8	83	19.7	B
7	11	75	18.2	B
8	11	66	15.6	A
9	11.1	80	22.6	B
10	11.2	75	19.9	B
11	11.3	79	24.2	B
12	11.4	76	21.4	A
13	114	76	21	A
14	11.7	69	21.3	A
15	12	75	19.1	A
16	12.9	85	33.8	B
17	12.9	74	22.2	B
18	13.3	86	27.4	B
19	13.7	71	25.7	A
20	13.8	64	24.9	A
21	14	78	34.5	B
22	14.2	80	31.7	B
23	14.5	74	36.3	A
24	16	72	38.3	A
25	16.3	77	42.6	B
26	17.3	81	55.4	A
27	17.5	82	55.7	B
28	17.9	80	58.3	B
29	18	80	51.5	A
30	18	80	51	A
31	20.6	87	77	B
