Groupe	Transect	Niveau	Horizon	Variable	Valeur	Remarques
2B	1	Milieu	Litière	Macrofaune	Diptère	
2B	1	milieu	Litière	Macrofaune	Cylisticus convexus	
2B	1	milieu	Litière	Macrofaune	Cylisticus convexus	
2B	1	milieu	Litière	Macrofaune	Cylisticus convexus	
2B	1	milieu	Litière	Macrofaune	Cylisticus convexus	
2B	1	milieu	Litière	Macrofaune	Cylisticus convexus	
2B	1	milieu	Litière	Macrofaune	Coleoptère	
2B	1	milieu	Litière	Macrofaune	Coleoptère	petit
2B	1	milieu	Litière	Macrofaune	Coleoptère	petit
2B	2	milieu	Litière	Macrofaune	Oniscus asellus	
2B	2	milieu	Litière	Macrofaune	Oniscus asellus	
2B	2	milieu	Litière	Macrofaune	Oniscus asellus	
2B	2	milieu	Litière	Macrofaune	Oniscus asellus	
2B	2	millieu	Sol	Macrofaune	Elateridae	
2B	2	millieu	Sol	Macrofaune	Aranea	
2B	2	millieu	Sol	Macrofaune	Aranea	
2B	2	millieu	Sol	Macrofaune	Geophilomorpha	
2B	2	millieu	Sol	Macrofaune	Geophilomorpha	
2B 	3	haut	Sol	Macrofaune	Coléoptère	
2B	3	haut	Sol	Macrofaune	Coléoptère	larve
2B	3	haut	Sol	Macrofaune	Coléoptère 	larve
2B	3	haut	Sol	Macrofaune	Coléoptère	larve
2B	3	haut	Sol	Macrofaune	Diptère	larve mouche
2B	3	haut	sol	Macrofaune	Centipède	
2B	1	milieu	sol	Macrofaune	Porcellio scaber	
2B	1	milieu	sol	Macrofaune	Coleoptère	larve
2B	1	milieu	sol	Macrofaune	Coleoptère	larve
2B	3	bas	Sol	Macrofaune	Lumbricus rubellus	
2B	3	bas	sol	Macrofaune	oligochète	partie avant alteré
2B	3	bas	sol	Macrofaune	Oniscus asellus	
2B	3	bas	sol	Macrofaune	Trachelipus rahkeis	
2B	3	bas	sol	Macrofaune	Philoscia muscorum	
2B	3	milieu	litière	Macrofaune	Pseudoscorpion	
2B	3	milieu	litière	Macrofaune	Diptère	
2B	1	Haut	litière	Macrofaune	Stigmatomaster subterranea	
2B	1	Haut	litière	macofaune 	stigmatomaster subterranea	
2B	1	Haut	litière	Macrofaune	Cryopteris hortensis	
2B	1	Haut	litière	Macrofaune	Porcellio scaber	
2B	1	Haut	litière	Macrofaune	porcellio scaber	
2B	1	Haut	litière	macrofaune 	Cylisticus convexus	
2B	1	Haut	litière	Macrofaune	gastéropode pulmoné	
2B	1	Haut	litière 	macrofaune	acarien oribate	
2B	3	milieu	sol	macrofaune	Centipède	
2B	3	milieu	sol	macrofaune	Coléoptère	larve
2B	3	bas	litière	macrofaune	Trachelipus rahkeis	
2B	3	bas	litière	macrofaune	Oniscus asellus	
2B	3	bas	litière	macrofaune	Philoscia muscorum	
2B	3	bas	litière	macrofaune	Diplopode	
2B	3	bas	litière	macrofaune	Aranea	
2A	1	milieux	Sol	pH	3,88	
2A	1	haut	Sol	pH	3,8	
2A	1	bas	Sol	pH	7,44	beaucoup d'humus
2B	1	bas	Sol	macrofaune	Philoscia muscorum	
2B	1	bas	Sol	macrofaune	Philoscia muscorum	
2B	1	bas	Sol	macrofaune	Oniscus asellus	
2B	1	bas	Sol	macrofaune	Oligochète	juvénile
2B	1	bas	Sol	macrofaune	Coléoptère	larve
2B	3	haut	litière	macrofaune	Coléoptère	
2B	3	haut	litière	macrofaune	Arachnide	
2B	3	haut	litière	macrofaune	Arachnide	
2B	3	haut	litière	macrofaune	Hyménoptère	
2B	3	haut	litière	macrofaune	Hyménoptère	
2B	3	bas	sol	macrofaune	Coléoptère	larve
2A	3	haut	sol	pH	4,44	
2A	3	milieu	sol	pH	5,37	
2A	3	bas	sol	pH	7,11	
2B	3	bas	sol	macrofaune	Arachnide	
2B	3	bas	sol	macrofaune	Arachnide	
2B	1	bas	litière	macrofaune	Opiliones	
2B	1	bas	litière	macrofaune	Oniscus asellus	
2B	1	bas	litière	macrofaune	Oniscus asellus	
2B	1	bas	litière	macrofaune	Philoscia muscorum	
2B	1	bas	litière	macrofaune	Philoscia muscorum	
2B	1	bas	litière	macrofaune	Philoscia muscorum	
2B	1	bas	litière	macrofaune	Philoscia muscorum	
