taille	genre
165	F
160	F
178	M
162	F
170	M
160	F
171	F
165	F
180	M
174	F
170	M
165	F
160	F
160	F
170	F
169	F
167	F
180	M
171	F
180	M
173	M
175	M
183	M
178	M
163	F
162	F
158	F
168	F
168	F
169	F
168	M
167	F
173	M
189	M
178	M
175	M
192	M
174	F
181	F
163	F
163	F
157	F
157	F
157	F
164	F
176	M
175	M
169	M
169	F
178	M
161	F
164	F
166	F
203	M
170	F
180	M
162	F
170	F
165	F
167	F
164	F
165	F
180	M
163	F
165	F
168	M
161	F
156	F
178	M
174	M
174	M
163	F
165	F
174	M
160	F
181	M
173	M
170	F
185	M
172	F
170	F
163	F
169	F
167	F
153	F
163	F
158	F
165	F
170	F
169	F
175	F
171	F
173	F
